ds,Niederschlag,Sonne_h,Temperatur_max,SoFe_SH,HeFe_SH,WiFe_SH,Kieler_Woche,karfreitag,ostermontag,himmelfahrt,pfingstmontag,tag_der_arbeit,einheitstag,heilig_abend,weihnachten,silvester,neujahr,day_before_irregular_holiday
2015-05-04,"1,9","5,6","18,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05,"14,8","3,8","24,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-06,"3,1","9,6","18,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-07,"2,4","5,7","13,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-08,0,"9,1","12,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-09,"3,7","1,5","16,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-10,0,"8,2","14,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-11,0,"11,4","23,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-12,"2,9",3,"17,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-13,0,"2,3","13,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-14,0,"0,2","12,8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-05-15,0,"7,7","15,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-16,"0,3",0,"11,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,"0,4","8,7","13,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-18,"8,9",0,"13,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-19,"12,4","5,8","14,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-20,"1,7","9,1","14,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-21,"0,2","7,9","14,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-22,"1,1","8,2","19,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-23,"0,4","7,5","15,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-24,"0,5","13,9","17,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-25,0,"0,4","13,1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2015-05-26,0,"6,7",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-27,0,"4,5","14,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
